Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
3.01576	leaf-2	0	30	LastDelay	0.00576	5760	1	2
3.01576	leaf-2	0	30	FullDelay	0.00576	5760	1	2
3.02576	leaf-3	0	30	LastDelay	0.00576	5760	1	2
3.02576	leaf-3	0	30	FullDelay	0.00576	5760	1	2
3.03288	leaf-4	0	30	LastDelay	0.00288	2880	1	2
3.03288	leaf-4	0	30	FullDelay	0.00288	2880	1	2
3.10288	leaf-1	0	30	LastDelay	0.00288	2880	1	2
3.10288	leaf-1	0	30	FullDelay	0.00288	2880	1	2
3.11576	leaf-2	0	31	LastDelay	0.00576	5760	1	2
3.11576	leaf-2	0	31	FullDelay	0.00576	5760	1	2
3.12576	leaf-3	0	31	LastDelay	0.00576	5760	1	2
3.12576	leaf-3	0	31	FullDelay	0.00576	5760	1	2
3.13288	leaf-4	0	31	LastDelay	0.00288	2880	1	2
3.13288	leaf-4	0	31	FullDelay	0.00288	2880	1	2
3.20288	leaf-1	0	31	LastDelay	0.00288	2880	1	2
3.20288	leaf-1	0	31	FullDelay	0.00288	2880	1	2
3.21576	leaf-2	0	32	LastDelay	0.00576	5760	1	2
3.21576	leaf-2	0	32	FullDelay	0.00576	5760	1	2
3.22576	leaf-3	0	32	LastDelay	0.00576	5760	1	2
3.22576	leaf-3	0	32	FullDelay	0.00576	5760	1	2
3.23288	leaf-4	0	32	LastDelay	0.00288	2880	1	2
3.23288	leaf-4	0	32	FullDelay	0.00288	2880	1	2
3.30288	leaf-1	0	32	LastDelay	0.00288	2880	1	2
3.30288	leaf-1	0	32	FullDelay	0.00288	2880	1	2
3.31576	leaf-2	0	33	LastDelay	0.00576	5760	1	2
3.31576	leaf-2	0	33	FullDelay	0.00576	5760	1	2
3.32576	leaf-3	0	33	LastDelay	0.00576	5760	1	2
3.32576	leaf-3	0	33	FullDelay	0.00576	5760	1	2
3.33288	leaf-4	0	33	LastDelay	0.00288	2880	1	2
3.33288	leaf-4	0	33	FullDelay	0.00288	2880	1	2
3.40288	leaf-1	0	33	LastDelay	0.00288	2880	1	2
3.40288	leaf-1	0	33	FullDelay	0.00288	2880	1	2
3.41576	leaf-2	0	34	LastDelay	0.00576	5760	1	2
3.41576	leaf-2	0	34	FullDelay	0.00576	5760	1	2
3.42576	leaf-3	0	34	LastDelay	0.00576	5760	1	2
3.42576	leaf-3	0	34	FullDelay	0.00576	5760	1	2
3.43288	leaf-4	0	34	LastDelay	0.00288	2880	1	2
3.43288	leaf-4	0	34	FullDelay	0.00288	2880	1	2
3.50288	leaf-1	0	34	LastDelay	0.00288	2880	1	2
3.50288	leaf-1	0	34	FullDelay	0.00288	2880	1	2
3.51576	leaf-2	0	35	LastDelay	0.00576	5760	1	2
3.51576	leaf-2	0	35	FullDelay	0.00576	5760	1	2
3.52576	leaf-3	0	35	LastDelay	0.00576	5760	1	2
3.52576	leaf-3	0	35	FullDelay	0.00576	5760	1	2
3.53288	leaf-4	0	35	LastDelay	0.00288	2880	1	2
3.53288	leaf-4	0	35	FullDelay	0.00288	2880	1	2
3.60288	leaf-1	0	35	LastDelay	0.00288	2880	1	2
3.60288	leaf-1	0	35	FullDelay	0.00288	2880	1	2
3.61576	leaf-2	0	36	LastDelay	0.00576	5760	1	2
3.61576	leaf-2	0	36	FullDelay	0.00576	5760	1	2
3.62576	leaf-3	0	36	LastDelay	0.00576	5760	1	2
3.62576	leaf-3	0	36	FullDelay	0.00576	5760	1	2
3.63288	leaf-4	0	36	LastDelay	0.00288	2880	1	2
3.63288	leaf-4	0	36	FullDelay	0.00288	2880	1	2
3.70288	leaf-1	0	36	LastDelay	0.00288	2880	1	2
3.70288	leaf-1	0	36	FullDelay	0.00288	2880	1	2
3.71576	leaf-2	0	37	LastDelay	0.00576	5760	1	2
3.71576	leaf-2	0	37	FullDelay	0.00576	5760	1	2
3.72576	leaf-3	0	37	LastDelay	0.00576	5760	1	2
3.72576	leaf-3	0	37	FullDelay	0.00576	5760	1	2
3.73288	leaf-4	0	37	LastDelay	0.00288	2880	1	2
3.73288	leaf-4	0	37	FullDelay	0.00288	2880	1	2
3.80288	leaf-1	0	37	LastDelay	0.00288	2880	1	2
3.80288	leaf-1	0	37	FullDelay	0.00288	2880	1	2
3.81576	leaf-2	0	38	LastDelay	0.00576	5760	1	2
3.81576	leaf-2	0	38	FullDelay	0.00576	5760	1	2
3.82576	leaf-3	0	38	LastDelay	0.00576	5760	1	2
3.82576	leaf-3	0	38	FullDelay	0.00576	5760	1	2
3.83288	leaf-4	0	38	LastDelay	0.00288	2880	1	2
3.83288	leaf-4	0	38	FullDelay	0.00288	2880	1	2
3.90288	leaf-1	0	38	LastDelay	0.00288	2880	1	2
3.90288	leaf-1	0	38	FullDelay	0.00288	2880	1	2
3.91576	leaf-2	0	39	LastDelay	0.00576	5760	1	2
3.91576	leaf-2	0	39	FullDelay	0.00576	5760	1	2
3.92576	leaf-3	0	39	LastDelay	0.00576	5760	1	2
3.92576	leaf-3	0	39	FullDelay	0.00576	5760	1	2
3.93288	leaf-4	0	39	LastDelay	0.00288	2880	1	2
3.93288	leaf-4	0	39	FullDelay	0.00288	2880	1	2
4.00288	leaf-1	0	39	LastDelay	0.00288	2880	1	2
